Text,Error Type
"Assimilate or go hungry  Human rights lawyers descend in 5 4 3 2 1 COPENHAGEN, Denmark   A Danish city has ordered pork to be mandatory on municipal menus, including for schools and daycare centers, with politicians insisting the move is necessary for preserving the country s food traditions and is not an attack on Muslims.Frank Noergaard, a member of the council in Randers that narrowly approved the decision earlier this week, says it was made to ensure that pork remains  a central part of Denmark s food culture. Denmark is a major pork producer and it is the most popular meat, but it is forbidden to Muslims and Jews. Most of the asylum-seekers who have arrived in the country in the past months are Muslim.Noergaard, a member of the anti-immigration, populist Danish People s Party that proposed the council motion, said Thursday that it wasn t meant as a  harassment of Muslims,  but added that he had received  several complaints about too many concessions  being made to Muslims in the small, predominantly Lutheran country. The signal we want to send here is that if you re a Muslim and you plan to come to Randers, don t expect you can impose eating habits on others. Pork here is on an equal footing with other food,  Noergaard told The Associated Press. He said that halal meat, vegetarian dishes and diets for diabetics would still be available.In 2013, then-Prime Minister Helle Thorning-Schmidt lashed out at some nurseries after they started serving halal-butchered meat instead of pork because Muslim children had refused to eat it. Via: AP Newsh/t Weasel Zippers",False Positive
"President Donald Trump just completed his first foreign trip and the verdict is decidedly mixed as to how well he fared in Europe. For his part, Trump is saying his entire visit to the Middle East and Europe was a  home run.  Not everyone is so convinced.An official with the State Department told the Daily Beast that the president behaved like a  drunk tourist.  The official continued to say,  When it comes to diplomacy, President Trump is a drunk tourist.Loud and tacky, shoving his way around the dance floor. He steps on others without realizing it. It s ineffectual. Trump s problems started in Vatican City when he met with Pope Francis. The Pope and Trump have clashed before. Last year the Pontiff questioned Trump s faith and said that anyone who pushes building walls rather than bridges is  not Christian.  Trump blasted back and slammed the Pope for questioning his faith. From a comment Francis made to First Lady Melania Trump about the president s weight to the meeting itself, where the Pope asked Trump to rethink his stance on climate change, the meetings were fraught with tension.That tension continued when Trump arrived at the G7 meetings. First, he pushed the prime minister of Montenegro out of the way so he could be at the front of the photo of the world leaders:",False Positive
"Nothing shady here, huh? Unbelievable!Even by the standards of arms deals between the United States and Saudi Arabia, this one was enormous. A consortium of American defense contractors led by Boeing would deliver $29 billion worth of advanced fighter jets to the United States  oil-rich ally in the Middle East.Israeli officials were agitated, reportedly complaining to the Obama administration that this substantial enhancement to Saudi air power risked disrupting the region s fragile balance of power. The deal appeared to collide with the State Department s documented concerns about the repressive policies of the Saudi royal family.But now, in late 2011, Hillary Clinton s State Department was formally clearing the sale, asserting that it was in the national interest. At a press conference in Washington to announce the department s approval, an assistant secretary of state, Andrew Shapiro, declared that the deal had been  a top priority  for Clinton personally. Shapiro, a longtime aide to Clinton since her Senate days, added that the  U.S. Air Force and U.S. Army have excellent relationships in Saudi Arabia. These were not the only relationships bridging leaders of the two nations. In the years before Hillary Clinton became secretary of state, the Kingdom of Saudi Arabia contributed at least $10 million to the Clinton Foundation, the philanthropic enterprise she has overseen with her husband, former president Bill Clinton. Just two months before the deal was finalized, Boeing   the defense contractor that manufactures one of the fighter jets the Saudis were especially keen to acquire, the F-15   contributed $900,000 to the Clinton Foundation, according to a company press release.Via: IBT",False Positive
"Oh the irony of a terror attack by Muslims taking place on American soil on the heels of Obama s return from phony Climate Change Summit in Paris ISIS has taken responsibility for the horrifying attacks in Paris that have left more than 150 dead and hundreds wounded. French President Francois Hollande is calling for the closure of his country s borders. President Barack Obama didn t condemn Islamic radicals for the attacks, but he did call them  an outrageous attempt to terrorize innocent civilians  and  an attack on all of humanity and the universal values we share. Friday s deadly attacks thwarted Al Gore s long-planned Paris webcast and star-studded concert to promote climate change awareness. Out of solidarity with the French people and the City of Paris, we have decided to suspend our broadcast of 24 Hours of Reality and Live Earth,  the group said in an online statement.Coincidentally, in July 2008, Al Gore called climate change a more dangerous threat than terrorism.  I think that the climate crisis is, by far, the most serious threat we have ever faced,  Gore told ABC News.Below are 22 times Obama or his administration officials claimed climate change a greater threat than radical Islamic terrorism.In a January 15, 2008 presidential campaign speech on Iraq and Afghanistan, Barack Obama said the  immediate danger  of oil-backed terrorism  is eclipsed only by the long-term threat from climate change, which will lead to devastating weather patterns, terrible storms, drought, and famine. That means people competing for food and water in the next fifty years in the very places that have known horrific violence in the last fifty: Africa, the Middle East, and South Asia. Most disastrously, that could mean destructive storms on our shores, and the disappearance of our coastline. On January 26, 2009, Obama delivered remarks at the White House on the  dangers  of climate change:These urgent dangers to our national and economic security are compounded by the long-term threat of climate change, which, if left unchecked, could result in violent conflict, terrible storms, shrinking coastlines, and irreversible catastrophe.In May 2010, the Obama White House released it s national security strategy, which said,  At home and abroad, we are taking concerted action to confront the dangers posed by climate change and to strengthen our energy security.  The document declared climate change  an urgent and growing threat to our national security. On September 6, 2012, during his Democratic National Convention speech, Obama said,  Yes, my plan will continue to reduce the carbon pollution that is heating our planet, because climate change is not a hoax. More droughts and floods and wildfires are not a joke. They are a threat to our children s future.On January 23, 2013, in an address before the Senate Foreign Relations Committee, Secretary of State John Kerry declared climate change among the top threats facing the United States.February 16, 2014, Secretary of State John Kerry addressed students in Indonesia and said that global warming is now  perhaps the world s most fearsome weapon of mass destruction. In a June 2014 interview, Obama said:When you start seeing how these shifts can displace people entire countries can be finding themselves unable to feed themselves and the potential incidence of conflict that arises out of that that gets your attention. There s a reason why the quadrennial defense review which the secretary of defense and the Joints Chiefs of Staff work on identified climate change as one of our most significant national security problems. It s not just the actual disasters that might arise, it is the accumulating stresses that are placed on a lot of different countries and the possibility of war, conflict, refugees, displacement that arise from a changing climate.During a September 2014 meeting with foreign ministers, Secretary of State John Kerry called Climate change a threat as urgent as ISIS.On September 24 2014, the Obama USDA launched its Global Alliance for Climate Smart Agriculture. In a memo posted by Secretary of State John Kerry, among other Obama administration officials, read, From India to the United States, climate change poses drastic risks to every facet of our lives. On October 29, 2014, in an address to the Washington Ideas Forum, Obama s Defense Secretary Chuck Hagel said:From my perspective, within the portfolio that I have responsibility for security of this country climate change presents security issues for us. There s a security dynamic to that. As the oceans increase, it will affect our bases. It will affect islands. It will affect security across the world. Just from my narrow perspective, what I have responsibility for, that s happening now.During his 2015 State of the Union address, Obama said,  No challenge  poses a greater threat to future generations than climate change. In a February 2015 address to college students in Iowa, Vice President Joe Biden said  Global warming is the greatest threat to your generation of anything at all, across the board. On February 09, 2015, in an interview with Vox, Obama said he  absolutely  believes that the media  sometimes overstates the level of alarm people should have about terrorism  as opposed to  climate change. On February 10, 2015, when asked to confirm if this means Obama believes  the threat of climate change is greater than the threat of terrorism,  Earnest responded,  The point the president is making is that there are many more people on an annual basis who have to confront the impact, the direct impact on their lives, of climate change, or on the spread of a disease, than on terrorism. During his April 18, 2015 weekly address on climate change, Obama said,  Wednesday is Earth Day, a day to appreciate and protect this precious planet we call home. And today, there s no greater threat to our planet than climate change. In May 2015, the White House released a 1,300-page National Climate Assessment that declared climate change among the world s foremost threats.May 20, 2015 President Obama said in his keynote address to the U.S. Coast Guard Academy graduates:  Climate change, and especially rising seas, is a threat to our homeland security, our economic infrastructure, the safety and health of the American people. On July 13 2015, U.S. Environmental Protection Agency administrator Gina McCarthy and Obama s U.S. Ambassador to the Vatican Kenneth F. Hackett wrote in a joint blog post on the EPA website, praising Pope Francis for dedicating his second encyclical to urging swift action on global warming.McCarthy and Hackett wrote:As public servants working in both domestic policy and diplomacy, we understand the urgent need for global action. Climate impacts like extreme droughts, floods, fires, heat waves, and storms threaten people in every country and those who have the least suffer the most. No matter your beliefs or political views, we are all compelled to act on climate change to protect our health, our planet, and our fellow human beings.An Obama Defense Department report released on July 29, 2015 says climate change puts U.S. security at risk and threatens the global order:The report reinforces the fact that global climate change will have wide-ranging implications for U.S. national security interests over the foreseeable future because it will aggravate existing problems such as poverty, social tensions, environmental degradation, ineffectual leadership, and weak political institutions that threaten domestic stability in a number of countries.The report finds that climate change is a security risk because it degrades living conditions, human security, and the ability of governments to meet the basic needs of their populations. Communities and states that are already fragile and have limited resources are significantly more vulnerable to disruption and far less likely to respond effectively and be resilient to new challenges.In his August 28, 2015 weekly address, Obama said  This is all real. This is happening to our fellow Americans right now,  he said.  Think about that. If another country threatened to wipe out an American town, we d do everything in our power to protect ourselves. Climate change poses the same threat, right now. In a September address at the United Nations Climate Summit Obama said,  For all the immediate challenges that we gather to address this week terrorism, instability, inequality, disease   there s one issue that will define the contours of this century more dramatically than any other, and that is the urgent and growing threat of a changing climate. During a September 28 address at the United Nations, President Obama said that  We can roll back the pollution that we put in our skies,  adding that  No country can escape the ravages of climate change.  Via: Breitbart News",False Positive
"JPMorgan Chase CEO Jamie Dimon went on a rant about the dysfunction in DC during the company s earnings conference call Friday: The U.S. has become  one of the most bureaucratic, confusing, litigious societies on the planet Dimon had been considered for a position in President Trump s cabinet. He s been an adviser to Trump too. While there are some things Dimon clearly disagrees with the president on, they are able to work together: He is the President of the United States. I believe he is the pilot flying our airplane,  Dimon said,  I would try to help any President of the United States because I m a patriot. During the bank s annual meeting in May, 2016, Dimon reportedly commented on what he thinks the government should work on:Dimon emphasized the areas he believes are in serious need of fixing, including education, infrastructure, and tax reform. Our corporate tax system is driving capital and brains overseas and excessive regulation is reducing growth and business formation particularly for small businesses. THE STUPID SH*T WE HAVE TO DEAL WITH IN THIS COUNTRY It s almost embarrassment to be an American citizen traveling around the world and listening to the stupid s  we have to deal with in this country,  Dimon said in response to an analyst question. Since the Great Recession, which is now 8 years old, we ve been growing at 1.5 to 2 percent in spite of stupidity and political gridlock, because the American business sector is powerful and strong,  he said.  What I m saying is that it would be much stronger growth if there were more intelligent decisions and less gridlock. The executive of the U.S. banking giant cited travels to countries such as France, Argentina, Israel and Ireland. The U.S. has become  one of the most bureaucratic, confusing, litigious societies on the planet  and  it s hurting the average American that we don t have these right policies,  he said.JPMorgan Chase reported earnings that handily beat Wall Street estimates Friday. However, the bank lowered its forecast for lending revenue.DC has been in gridlock over the health care bill, which is holding up the passage of new legislation on tax reform. The Senate cut short its August recess by two weeks in order to deal with health care. There are about a dozen Senators opposed to the current bill citing the possibility that this new health care bill is  Obamacare lite . Senator Rand Paul has voiced strong opposition to this new bill.Here s the transcript from Dimon:Since the Great Recession which is now eight years old we ve been growing at 1.5 to 2% despite the stupidity and political gridlock. Because the American business sector is powerful and strong and is going to grow regardless of they went to feed their kids and want to buy home they want to do things the same as American businesses what I m saying is it would be much stronger growth had we made intelligent decisions and that gridlock, and thank you for pointing it out because I m going to be a broken record until this gets done, we are unable to build bridges, unable to build airports, not graduating.I was just in France, in Argentina, Israel, Ireland we met with the Prime Minister of India and China it s amazing to me that every single one of those countries understands that practical policies to promote business growth is good for the average citizens of those countries for jobs and wages and somehow this great American free enterprise system we no longer get it.My view is corporate taxation is critical to that by the way regarding capital brings overseas, which is why the $2 trillion overseas benefiting all these other countries don t like that, so if we don t get our act together we can still grow. It s just unfortunate but it s hurting us, it s hurting the body politic, it s hurting the average American that we don t have these right policies. So no in spite of gridlock we will grow at 1   or 2%.I don t buy the argument that we are relegated to this effort. We are not this administration can make breakthroughs in taxes and infrastructure ready for reform we have become one of the most bureaucratic confusing litigious societies on the planet it s almost an embarrassment be an American citizen traveling around the world and listening to the stupid s  we have to deal with in this country and at one point we have to get our act together. We won t do what were supposed to for the average Americans and unfortunately people write about this like corporations is not corporations competitive taxes are important for business and business growth which is important to jobs in wage growth and we should be making that along to every single one of you every time you talk to a client.VIA: CNBC",False Positive
"WASHINGTON (Reuters) - Khizr Khan, the father of a decorated American soldier killed in Iraq, lashed out at Republican presidential candidate Donald Trump on Tuesday for saying his son would still be alive if Trump had been president at the time. “For this candidate to put his political expediency ahead of any realization of pain and suffering of the families is shameful,” Khan said in an interview with CNN. The New York businessman raised the name of U.S. Army Captain Humayun Khan in a Sunday night presidential debate while  criticizing Democratic rival Hillary Clinton for voting in favor of the 2003 invasion of Iraq when she was a U.S. senator. “If I was president at that time he would be alive today,” Trump said. Despite his assertion that he always opposed the war, Trump had expressed support for it in a 2002 interview. Khizr Khan had delivered a speech to the Democratic National Convention in July showcasing his son’s military service and criticizing Trump’s campaign call for a temporary ban on Muslims entering the country. Trump responded at the time by questioning whether Khan’s wife, Ghazala Khan, was not “allowed” to speak when she appeared next to her husband on the stage, an insinuation of some conservative form of Islam that embroiled the candidate in an unpopular dispute with the Muslim parents of a fallen war hero.  The Khans were stunned to hear Trump bring up the name of their son, who was killed in 2004, in Sunday’s nationally televised debate, the father said. “We were not only shocked, we were saddened for such disingenuous expression of his thinking and of his feeling,” Khan said. Trump has said he has modified his call for a ban on Muslims entering the country to a plan for “extreme vetting.” ",False Negative
"(Reuters) - The U.S. Congress passed a resolution late on Tuesday calling on President Donald Trump to condemn hate groups after Trump was criticized for his response to the violence at a white nationalist rally in Charlottesville, Virginia, a month ago. The U.S. House of Representatives unanimously adopted the resolution, U.S. Representative Gerry Connolly, a Democrat from Virginia, said in a statement. The Senate approved the measure on Monday. “Tonight, the House of Representatives spoke in one unified voice to unequivocally condemn the shameful and hate-filled acts of violence carried out by the KKK (Ku Klux Klan), white nationalists, white supremacists and neo-Nazis in Charlottesville,” Connolly said. The joint resolution, passed with the support of both Republicans and Democrats, will go to Trump for his signature.  Representatives for the White House did not respond immediately to an email seeking comment. The Congressional resolution calls on Trump to condemn hate groups and what it describes as the growing prevalence of extremists who support anti-Semitism, xenophobia and white supremacy. It also urges Attorney General Jeff Sessions to investigate acts of violence and intimidation by white nationalists, neo-Nazis, the Ku Klux Klan and similar groups. Trump alienated fellow Republicans, corporate leaders and U.S. allies and rattled markets last month with comments about the violence in Charlottesville, where white nationalists and neo-Nazis clashed with anti-racism activists on Aug. 12. One woman, Heather Heyer, was killed and several people were wounded when a suspected white nationalist crashed his car into anti-racist demonstrators. The Congressional resolution calls Heyer’s death a “domestic terrorist attack.” James Alex Fields, a 20-year-old Ohio man who authorities say drove into Heyer and other protesters, has been charged with second-degree murder and other criminal counts.  On Aug. 12, Trump denounced hatred and violence “on many sides,” a comment that drew sharp criticism from across the political spectrum for not condemning white nationalists.  White nationalists had gathered in Charlottesville to protest against the planned removal of a statue of Robert E. Lee, who led the pro-slavery Confederacy’s army during the U.S. Civil War. Trump defended Confederate monuments last month. At a rally in Phoenix on Aug. 22, Trump accused television networks of ignoring his calls for unity in the aftermath of the violence in Charlottesville. “I didn’t say I love you because you’re black, or I love you because you’re white,” Trump said at the rally. “I love all the people of our country.” The resolution also acknowledged the deaths of two Virginia State Police officers whose helicopter crashed as they patrolled the Charlottesville protest. ",False Negative
"WASHINGTON (Reuters) - President Barack Obama said on Tuesday he was dismayed about violence and divisiveness on the U.S. presidential campaign trail and, in a reference to Republican front-runner Donald Trump, called on leaders to clean up the tone of the race. “We have heard vulgar and divisive rhetoric aimed at women and minorities, at Americans who don’t look like us or pray like us or vote like we do,” Obama said during an event on Capitol Hill. “We’ve seen misguided attempts to shut down that speech. However offensive it may be, we live in a country where free speech is one of the most important rights that we hold. In response to those attempts, we’ve seen actual violence. And we’ve heard silence from too many of our leaders.” Obama spoke as Americans in five states - Ohio, Florida, Illinois, Missouri and North Carolina - voted in the latest round of primaries to select the Democratic and Republican presidential candidates for the November election. Trump has drawn wide criticism, including from within the Republican establishment, for a campaign that has included calling Mexican immigrants rapists and proposing a temporary ban on Muslims entering the United States. There have been some clashes in recent days at his rallies between his supporters and protesters. Trump, a New York real estate magnate, has dismissed accusations that he has fueled the violent atmosphere. Obama said this year’s campaign cycle was not an accurate reflection of the United States. “It has to stop,” the Democratic president said, describing the atmosphere of the campaign as “vicious,” and adding that the behavior “can undermine our democracy, our society and even our economy.” Mitch McConnell, the Republican Senate Majority Leader, told reporters that Trump had called him on Tuesday. “I took the opportunity to recommend to him that no matter who may be triggering these violent expressions or conflicts that we’ve seen in some of these rallies, it might be a good idea to condemn that and discourage it,” McConnell said. He declined to comment on Trump’s response.  U.S. Senators Ted Cruz of Texas and Marco Rubio of Florida and Ohio Governor John Kasich are challenging Trump for the nomination. “I suspect that all of us can recall some intemperate words that we regret. Certainly I can,” Obama said. “And while some may be more to blame than others for the current climate, all of us are responsible for reversing it.” ",False Negative
"WASHINGTON (Reuters) - Democratic U.S. presidential nominee Hillary Clinton told federal investigators that former Secretary of State Colin Powell suggested she use a personal email account, the New York Times reported late on Thursday. Clinton has for over a year been dogged by questions about her use of a private email account while she was the nation’s top diplomat. The newspaper said the information came from notes the Federal Bureau of Investigation delivered to Congress on Tuesday, which contained details from a more than three hour interview the agency conducted with Clinton over her private email use. The Times also cited an upcoming book that described a dinner conversation where Powell told Clinton to use her own email except for classified information. The newspaper also reported that Clinton asked Powell in a 2009 email exchange about his use of email while serving under former president George W. Bush. Reuters could not independently verify the report. Representatives for Clinton could not be immediately reached late on Thursday. Colin Powell’s office in a statement said he could not recall the dinner conversation. He did recall describing the system he used to her, but the statement did not say he suggested Clinton do the same.  “He did write former Secretary Clinton an email memo describing his use of his personal AOL email account for unclassified messages and how it vastly improved communications within the State Department,” the statement said. “At the time there was no equivalent system within the department.”  He used a secure department computer to manage classified information, the statement said.  Powell has said he had no choice besides using his private account as the department did not have a fully functioning email system of its own when he joined in 2001. Republicans have repeatedly hammered Clinton over the issue, helping to drive opinion poll results showing that many U.S. voters doubt her trustworthiness. FBI Director James Comey announced last month that no criminal charges would be filed over Clinton’s use of private email servers while secretary of state, but rebuked her for “extremely careless” handling of classified information. ",False Negative
"CHARLOTTE, N.C. (Reuters) - Republican presidential nominee Donald Trump’s campaign rallies have turned into eruptions of barely contained emotions from his impassioned followers, who urge him to fight on despite a series of gut punches that have put his chances of winning in doubt. With the Nov. 8 election now only weeks away and polls turning against him, Trump is spending precious time in campaign speeches defending himself from accusations from several women who say he made unwanted sexual advances toward them. What he would do if elected is covered, but much of his speeches are spent belittling his Democratic opponent, Hillary Clinton. He also accuses the U.S. news media of a plot to bring him down, and charges that the women who have made the accusations against him might be doing it for a taste of fame. Opinion polls show a gloomy picture for Trump. A week after a video surfaced of him bragging in lewd terms about groping women, the latest Reuters-Ipsos poll on Friday showed Clinton up, with 44 percent to Trump’s 37 percent. And the crowds have gotten more protective of their hero. One woman at a rally in Cincinnati, Ohio, on Thursday wore a homemade T-shirt that said “Trump Can Grab My,” with an arrow pointing to her crotch. On Friday in Greensboro, North Carolina, a man wearing a “Gays for Trump” shirt punched a protester who held up an upside down American flag. Both were ejected. Trump’s message has gotten through to his supporters in a big way about Clinton, who Trump calls a criminal for her handling of classified information as secretary of state. “She would be the most dishonest and corrupt ever elected to high office,” he said. A crowd of young voters had a ready response when he brought up Clinton at an event in Columbus, Ohio, on Thursday. “Lock her up!” they chanted, mimicking the lines voiced by older voters at other events. Trump could only smile and shake his head.  “So young and so jaded already,” he said. The New York businessman feeds off the energy generated by crowds that pack his rallies by the thousands. But he is easily distracted, lurching from topic to topic based on whatever happens to sprint to mind. On Wednesday in Lakeland, Florida, Trump jumped from bashing the news media as “the most dishonest people you’ll ever see,” to tout his performance at a debate in St. Louis on Sunday - “which I won big league” - to Clinton’s stroll across the stage in front of him at that event. “And the papers said I invaded her space,” he said. “Believe me, the last space I want to invade is hers.” There are moments of levity. A woman who recovered from a brief fainting spell in the heat of Lakeland was pointed out by Trump. “That woman was out cold and now she is recovered — a little ding to the head,” he said, approvingly. Trump can form an attack line against Clinton out of pretty much anything that springs to mind. Venting about Chinese trade practices before a raucous crowd of perhaps 20,000 in Cincinnati on Thursday night, Trump  suddenly imagined how China might treat Clinton given her bout of pneumonia a month ago, which had caused her to nearly collapse at an event in New York. “If she goes down in Tiananmen Square, they’ll just leave her,” he said. “They’re tough people.” Trump’s crowds sometimes get agitated. Many of his supporters are upset at the news media, whipped into a frenzy by both Trump and former New York Mayor Rudy Giuliani, who in Cincinnati introduced Trump by condemning “the insanity of the media, the insanity of the way they cover him.” Upon entering the arena, Trump’s traveling press corps was booed by thousands of people who chanted “tell the truth.” Trump boosters near the media work area repeatedly cursed and taunted reporters. “When are you all going to be ashamed of yourselves?” one man shouted. “Lower than Congress — that’s what your approval rating is.” ",False Negative
